State,Park,RecreationVisitors,RecreationVisitors%,RecreationVisitorDays,RecreationVisitorDays%,NonRecreationVisitors,NonRecreationVisitors%,RecreationVisitorHours,RecreationVisitorHours%,NonRecreationVisitorHours,NonRecreationVisitorHours%
Louisiana,Jean Lafitte NHP & PRES,212591,-0.14400000000000002,21937,-0.3344,192000,0.0,263250,-0.3344,90960,0.0
Louisiana,New Orleans Jazz NHP,44943,0.11359999999999999,6447,0.22010000000000002,0,,77365,0.22,0,
Maine,Acadia NP,3961661,0.021099999999999997,2245729,0.0443,47100,0.0,26948748,0.0443,47100,0.0
Maine,Katahdin Woods and Waters NM,35173,-0.08529999999999999,12172,-0.1125,6465,-0.4625,146072,-0.1125,3233,-0.46270000000000006
Maine,Saint Croix Island IHS,13508,0.0866,1407,0.08650000000000001,0,,16886,0.0866,0,
Maryland,Antietam NB,197340,0.2851,33280,0.2028,0,,399365,0.2028,0,
Maryland,Assateague Island NS,1036793,0.33590000000000003,810567,0.46340000000000003,1800,0.5152,9726805,0.46340000000000003,1800,0.5152
Maryland,Catoctin Mountain Park,380681,-0.1198,135549,-0.08070000000000001,248950,0.26539999999999997,1626596,-0.08070000000000001,26260,0.1848
Maryland,Chesapeake & Ohio Canal NHP,3360170,-0.011000000000000001,595825,-0.0137,9024,0.0,7149904,-0.0137,9024,0.0
Maryland,Clara Barton NHS,13334,2.1575,1111,2.1652,0,,13334,2.1575,0,
Maryland,Fort McHenry NM & HS,394175,-0.0832,49272,-0.0832,720,0.0,591264,-0.0832,360,0.0
Maryland,Fort Washington Park,491013,0.0955,159439,0.1025,0,,1913272,0.1025,0,
Maryland,Greenbelt Park,77642,-0.15410000000000001,87158,2.494,0,,1045903,2.494,0,
Maryland,Hampton NHS,12260,-0.161,1532,-0.161,600,0.0,18390,-0.161,600,0.0
Maryland,Harriet Tubman Underground Railroad NHP,17946,0.5679,770,0.6042000000000001,0,,9249,0.6052000000000001,0,
