city,city_ascii,state_id,state_name,county_name,lat,lng,population,density,timezone
Sausal,Sausal,NM,New Mexico,Valencia,34.6803,-106.7589,783,134.4,America/Denver
Grandview,Grandview,IN,Indiana,Spencer,37.937,-86.9842,783,315.3,America/Chicago
Silver Cliff,Silver Cliff,CO,Colorado,Custer,38.1204,-105.4104,783,19.6,America/Denver
Wood Heights,Wood Heights,MO,Missouri,Ray,39.3414,-94.1635,783,132.6,America/Chicago
Spokane Creek,Spokane Creek,MT,Montana,Broadwater,46.5343,-111.7391,783,17.5,America/Denver
Albany,Albany,IL,Illinois,Whiteside,41.7861,-90.2163,783,282.3,America/Chicago
Gibsland,Gibsland,LA,Louisiana,Bienville,32.5395,-93.0541,783,114.8,America/Chicago
Butte Creek Canyon,Butte Creek Canyon,CA,California,Butte,39.7489,-121.6968,783,14.7,America/Los_Angeles
North,North,SC,South Carolina,Orangeburg,33.6164,-81.103,783,349.8,America/New_York
Tresckow,Tresckow,PA,Pennsylvania,Carbon,40.916,-75.9656,783,169.7,America/New_York
Fertile,Fertile,MN,Minnesota,Polk,47.5339,-96.2893,782,145.4,America/Chicago
Wataga,Wataga,IL,Illinois,Knox,41.0253,-90.2754,782,364.2,America/Chicago
Parksley,Parksley,VA,Virginia,Accomack,37.7863,-75.6539,782,489.9,America/New_York
Redfield,Redfield,IA,Iowa,Dallas,41.5905,-94.1963,782,221.4,America/Chicago
Salem,Salem,KY,Kentucky,Livingston,37.2653,-88.241,782,354.5,America/Chicago
Grundy,Grundy,VA,Virginia,Buchanan,37.2754,-82.0988,782,60.6,America/New_York
Wonderland Homes,Wonderland Homes,SD,South Dakota,Meade,44.2029,-103.3433,782,561.1,America/Denver
Whitley City,Whitley City,KY,Kentucky,McCreary,36.7238,-84.4731,782,130.9,America/New_York
Pepin,Pepin,WI,Wisconsin,Pepin,44.4425,-92.1481,781,417.2,America/Chicago
Stewartsville,Stewartsville,MO,Missouri,DeKalb,39.7551,-94.4987,781,305.2,America/Chicago
Road Runner,Road Runner,TX,Texas,Cooke,33.483,-97.0849,781,505.1,America/Chicago
Sand Springs,Sand Springs,TX,Texas,Howard,32.2795,-101.3496,781,117.4,America/Chicago
