County,PovertyPopulation,PovertyPopulation%
Lake of the Woods County,392,0.105
Le Sueur County,2136,0.07400000000000001
McLeod County,2868,0.079
Mahnomen County,1005,0.193
Meeker County,1947,0.084
Mille Lacs County,2893,0.107
Morrison County,3457,0.102
Mower County,5156,0.131
Nicollet County,2752,0.087
Nobles County,2398,0.113
Norman County,764,0.12300000000000001
Olmsted County,12929,0.08
Otter Tail County,6335,0.106
Pennington County,1378,0.10300000000000001
Pine County,3251,0.113
Pipestone County,934,0.10300000000000001
Ramsey County,62146,0.11900000000000001
Red Lake County,384,0.099
Redwood County,1792,0.11900000000000001
Renville County,1580,0.11199999999999999
Rock County,915,0.098
Roseau County,1356,0.09
St. Louis County,25750,0.133
Sherburne County,5704,0.057
Sibley County,1312,0.08800000000000001
Stearns County,16996,0.11
Steele County,2897,0.078
Swift County,989,0.105
Traverse County,413,0.136
Wabasha County,1730,0.081
Wadena County,1886,0.135
Waseca County,1702,0.094
Watonwan County,1094,0.1
Wilkin County,624,0.10099999999999999
Winona County,5565,0.121
Yellow Medicine County,907,0.09699999999999999
Alcorn County,6238,0.187
Amite County,2817,0.228
Attala County,3318,0.19399999999999998
Bolivar County,10583,0.387
Claiborne County,2470,0.327
Coahoma County,6011,0.308
Copiah County,5711,0.214
Forrest County,13807,0.19
George County,3608,0.14400000000000002
Grenada County,4329,0.209
Hinds County,43453,0.21
Humphreys County,2337,0.32799999999999996
Issaquena County,374,0.496
Itawamba County,3165,0.14
Jefferson Davis County,2712,0.25
Kemper County,2009,0.259
Leake County,4283,0.20600000000000002
Leflore County,7342,0.28800000000000003
Neshoba County,5781,0.205
Noxubee County,2813,0.289
Oktibbeha County,11597,0.255
Panola County,8440,0.262
Pearl River County,10720,0.18899999999999997
Pontotoc County,4146,0.133
Prentiss County,4209,0.177
Rankin County,15232,0.098
Sharkey County,1128,0.345
Sunflower County,6610,0.325
Tallahatchie County,3166,0.312
Tate County,4085,0.151
Tippah County,3570,0.17300000000000001
Tishomingo County,2791,0.154
Tunica County,2520,0.276
Walthall County,2824,0.20600000000000002
Yalobusha County,2493,0.207
Yazoo County,6558,0.309
Andrew County,1504,0.084
Audrain County,3531,0.151
Bates County,2204,0.139
Bollinger County,1516,0.146
Callaway County,5393,0.13
Cape Girardeau County,9917,0.126
Chariton County,740,0.10400000000000001
Cole County,6821,0.094
Cooper County,1651,0.102
Dent County,2523,0.175
Dunklin County,6024,0.23
Gasconade County,1513,0.105
Gentry County,897,0.145
Hickory County,1487,0.175
Holt County,508,0.122
Howell County,6659,0.16699999999999998
Laclede County,6146,0.17
McDonald County,4300,0.182
Maries County,985,0.11800000000000001
Moniteau County,1495,0.102
New Madrid County,2999,0.19899999999999998
Nodaway County,2851,0.151
Oregon County,1622,0.18899999999999997
Ozark County,1790,0.20199999999999999
Pemiscot County,3923,0.27399999999999997
Pettis County,5957,0.14
Phelps County,6706,0.158
Platte County,6786,0.061
Ralls County,1042,0.1
Ray County,2259,0.099
Reynolds County,1140,0.198
St. Charles County,22647,0.055
Ste. Genevieve County,1708,0.096
St. Francois County,9295,0.153
Scotland County,603,0.131
Shannon County,1639,0.22899999999999998
Stoddard County,3825,0.13699999999999998
Taney County,7417,0.136
Texas County,4824,0.203
Vernon County,3198,0.16899999999999998
St. Louis city,54810,0.201
Beaverhead County,1224,0.129
Big Horn County,2721,0.217
Broadwater County,696,0.087
Carbon County,1197,0.106
Cascade County,9971,0.121
Chouteau County,869,0.15
Daniels County,172,0.107
Deer Lodge County,1214,0.13
Fallon County,269,0.091
Fergus County,1292,0.11199999999999999
Flathead County,11138,0.099
Glacier County,3754,0.28
Golden Valley County,134,0.16399999999999998
Granite County,414,0.11599999999999999
Hill County,3004,0.19
Judith Basin County,287,0.13699999999999998
Lewis and Clark County,6827,0.09300000000000001
McCone County,242,0.146
Meagher County,278,0.138
Missoula County,13548,0.114
Musselshell County,858,0.163
Petroleum County,72,0.13
Pondera County,1150,0.193
Powder River County,200,0.11699999999999999
Ravalli County,5076,0.107
Roosevelt County,2440,0.243
Rosebud County,1633,0.20199999999999999
Sanders County,1956,0.145
Silver Bow County,5634,0.158
Stillwater County,752,0.083
Sweet Grass County,374,0.1
Toole County,739,0.17
Treasure County,97,0.126
Wheatland County,371,0.185
Wibaux County,112,0.127
Yellowstone County,16465,0.099
Antelope County,661,0.106
Arthur County,55,0.133
Banner County,78,0.11599999999999999
Box Butte County,1263,0.12
Buffalo County,3912,0.081
Burt County,686,0.10300000000000001
Cherry County,601,0.11
Colfax County,1012,0.09699999999999999
Cuming County,758,0.086
Dawes County,1162,0.156
Deuel County,223,0.11900000000000001
Dixon County,451,0.084
Dundy County,207,0.135
Frontier County,321,0.131
Furnas County,540,0.12
Gage County,2198,0.10300000000000001
Garden County,281,0.159
Gosper County,162,0.08900000000000001
Hayes County,114,0.135
Hitchcock County,358,0.142
Hooker County,65,0.096
Kearney County,525,0.079
Keith County,902,0.11199999999999999
Keya Paha County,139,0.17300000000000001
Kimball County,394,0.12300000000000001
Lancaster County,33770,0.10800000000000001
Loup County,98,0.166
Merrick County,709,0.09300000000000001
Morrill County,639,0.145
Nance County,361,0.113
Nuckolls County,437,0.10800000000000001
Otoe County,1283,0.08
Perkins County,258,0.09300000000000001
Red Willow County,1164,0.115
Richardson County,831,0.111
Sarpy County,9803,0.049
Saunders County,1506,0.065
Scotts Bluff County,5374,0.155
Thayer County,443,0.09300000000000001
Thurston County,1264,0.196
Churchill County,2736,0.10800000000000001
Elko County,4834,0.09
Esmeralda County,109,0.14800000000000002
Eureka County,219,0.115
Lander County,659,0.115
Nye County,8366,0.154
Pershing County,825,0.168
Storey County,308,0.07400000000000001
Washoe County,48394,0.099
White Pine County,959,0.121
Carson City,5757,0.10400000000000001
Belknap County,5139,0.08
Cheshire County,6709,0.09
Coos County,4051,0.135
Grafton County,8045,0.094
Merrimack County,11623,0.077
Rockingham County,17152,0.054000000000000006
Strafford County,11683,0.09300000000000001
Atlantic County,32219,0.11900000000000001
Bergen County,62866,0.066
Burlington County,31013,0.068
Cape May County,8793,0.094
Gloucester County,25292,0.084
Hudson County,106193,0.152
Hunterdon County,6126,0.048
Monmouth County,42424,0.067
Ocean County,65276,0.1
Passaic County,70313,0.139
Salem County,6851,0.106
Bernalillo County,89525,0.135
Catron County,709,0.18600000000000003
Chaves County,12424,0.201
Cibola County,5801,0.237
Curry County,8735,0.18899999999999997
DeBaca County,297,0.18
Dona Ana County,43762,0.198
Eddy County,9810,0.165
Guadalupe County,917,0.249
Harding County,94,0.151
Hidalgo County,931,0.24
Lea County,11871,0.17
Los Alamos County,740,0.038
Luna County,6477,0.264
McKinley County,23417,0.34299999999999997
Mora County,862,0.209
Quay County,1919,0.228
Rio Arriba County,7359,0.185
Sandoval County,18196,0.11699999999999999
Santa Fe County,18759,0.122
Socorro County,3812,0.252
Taos County,6340,0.185
Torrance County,3519,0.23
Valencia County,13484,0.17300000000000001
Albany County,38586,0.129
Bronx County,367107,0.27699999999999997
Broome County,30765,0.168
Cattaraugus County,13591,0.18600000000000003
Cayuga County,9522,0.133
Chemung County,13187,0.16899999999999998
Chenango County,6464,0.14300000000000002
Cortland County,6687,0.16
Dutchess County,22541,0.08
Erie County,130014,0.141
Herkimer County,8219,0.141
New York County,255002,0.165
Niagara County,28300,0.138
Onondaga County,61032,0.136
Ontario County,9019,0.08199999999999999
Orleans County,4442,0.11699999999999999
Oswego County,16742,0.149
Queens County,307761,0.138
Rensselaer County,18884,0.124
Rockland County,50990,0.152
St. Lawrence County,18406,0.19
Saratoga County,17032,0.07200000000000001
Schenectady County,21629,0.14
Schoharie County,3871,0.135
Seneca County,4394,0.141
Tioga County,6271,0.133
Tompkins County,14034,0.157
Ulster County,22116,0.127
Westchester County,90348,0.09300000000000001
Wyoming County,3878,0.106
Yates County,2870,0.12300000000000001
Alamance County,21677,0.125
Alleghany County,1823,0.163
Anson County,4859,0.24100000000000002
Ashe County,4088,0.153
Avery County,2469,0.159
Beaufort County,8530,0.193
Bertie County,3790,0.243
Bladen County,5619,0.193
Brunswick County,16424,0.10300000000000001
Buncombe County,34611,0.129
Cabarrus County,21730,0.091
Carteret County,7295,0.106
Caswell County,3564,0.165
Catawba County,19276,0.11900000000000001
Chowan County,2063,0.151
Columbus County,9573,0.201
Craven County,15338,0.155
Currituck County,2442,0.078
Dare County,3354,0.08900000000000001
Davidson County,24163,0.14
Davie County,4292,0.09699999999999999
Duplin County,9688,0.198
Durham County,33994,0.106
Edgecombe County,10936,0.226
Gaston County,31513,0.135
Gates County,1431,0.14
Granville County,6722,0.114
Guilford County,77550,0.14800000000000002
Halifax County,11743,0.255
Harnett County,18972,0.13699999999999998
Haywood County,6869,0.11
Hertford County,4091,0.22699999999999998
Hoke County,9977,0.185
Hyde County,905,0.233
Iredell County,18197,0.092
Johnston County,25952,0.10800000000000001
Lenoir County,12425,0.231
McDowell County,6575,0.151
Mecklenburg County,116447,0.102
Moore County,11128,0.105
Nash County,13647,0.14400000000000002
New Hanover County,28150,0.121
Northampton County,3395,0.207
Onslow County,23393,0.124
Pamlico County,1767,0.15
Pasquotank County,6014,0.155
Pender County,7618,0.114
Perquimans County,2000,0.151
Person County,5646,0.14300000000000002
Pitt County,32930,0.19399999999999998
Robeson County,31430,0.27699999999999997
Rutherford County,9750,0.152
Sampson County,10830,0.185
Stanly County,7062,0.11
Stokes County,4721,0.105
Surry County,9804,0.139
Swain County,2125,0.156
Transylvania County,4104,0.125
Tyrrell County,693,0.214
Vance County,9705,0.23199999999999998
Wake County,85051,0.07200000000000001
Watauga County,8796,0.18600000000000003
Yadkin County,4800,0.129
Yancey County,2984,0.159
Barnes County,1168,0.115
Benson County,1283,0.22699999999999998
Billings County,108,0.105
Bottineau County,659,0.10800000000000001
Bowman County,267,0.095
Burleigh County,7402,0.077
Cavalier County,324,0.092
Dickey County,541,0.115
Divide County,205,0.098
Dunn County,440,0.11199999999999999
Emmons County,434,0.13699999999999998
Foster County,368,0.114
Grand Forks County,8589,0.125
Griggs County,250,0.11599999999999999
Hettinger County,289,0.127
Kidder County,330,0.142
LaMoure County,378,0.094
McKenzie County,1141,0.081
Mountrail County,1080,0.11599999999999999
Oliver County,202,0.10800000000000001
Pembina County,580,0.08900000000000001
Ransom County,502,0.09300000000000001
Rolette County,2716,0.235
Sargent County,322,0.087
Slope County,96,0.14300000000000002
Stutsman County,2182,0.11
Towner County,187,0.094
Traill County,631,0.084
Walsh County,970,0.096
Ward County,4874,0.07400000000000001
Williams County,2946,0.077
Ashland County,6888,0.135
Ashtabula County,16603,0.17800000000000002
Athens County,13648,0.253
Auglaize County,3877,0.085
Belmont County,9327,0.153
Clermont County,18649,0.08900000000000001
Columbiana County,15127,0.157
Coshocton County,5915,0.162
Cuyahoga County,193220,0.16
Darke County,4962,0.098
Defiance County,3332,0.08900000000000001
Fairfield County,13584,0.084
Gallia County,4911,0.174
Geauga County,5953,0.063
Guernsey County,5810,0.154
Highland County,5225,0.121
Hocking County,4335,0.159
Licking County,17281,0.09699999999999999
Lorain County,34018,0.11
Mahoning County,42602,0.195
Medina County,13795,0.076
Meigs County,4476,0.20800000000000002
Morrow County,3812,0.10800000000000001
Muskingum County,14612,0.17300000000000001
Pickaway County,6596,0.11599999999999999
Portage County,20077,0.129
Preble County,4192,0.10400000000000001
Ross County,11723,0.165
Sandusky County,5939,0.10300000000000001
Scioto County,12775,0.18600000000000003
Trumbull County,33696,0.172
Tuscarawas County,12127,0.134
Van Wert County,3071,0.109
Vinton County,2329,0.188
Wood County,12420,0.098
Wyandot County,1861,0.08800000000000001
Alfalfa County,890,0.198
Atoka County,2573,0.2
Beaver County,666,0.135
Beckham County,4264,0.218
Caddo County,4757,0.21100000000000002
Canadian County,13705,0.079
Cimarron County,380,0.174
Coal County,1106,0.213
Cotton County,926,0.17300000000000001
Craig County,2568,0.188
Creek County,11405,0.157
Dewey County,581,0.138
Garvin County,4625,0.18
Greer County,1178,0.257
Harmon County,584,0.251
Hughes County,2815,0.242
Kay County,8006,0.188
Kingfisher County,1818,0.12
Latimer County,2131,0.231
Le Flore County,10035,0.21
Love County,1468,0.14400000000000002
McClain County,4458,0.095
McCurtain County,6727,0.222
Major County,921,0.12300000000000001
Mayes County,6652,0.16899999999999998
Muskogee County,13091,0.20800000000000002
Nowata County,1628,0.174
Okfuskee County,2563,0.25
Oklahoma County,127113,0.16
Okmulgee County,6904,0.193
Payne County,16281,0.22
Pittsburg County,7603,0.184
Pushmataha County,2512,0.23600000000000002
Roger Mills County,600,0.183
Rogers County,9427,0.096
Sequoyah County,8866,0.223
Tillman County,1330,0.19699999999999998
Tulsa County,101475,0.151
Wagoner County,9217,0.10400000000000001
Washita County,1831,0.174
Woods County,1360,0.18
Woodward County,2726,0.147
Clackamas County,29176,0.069
Clatsop County,6226,0.153
Crook County,3416,0.128
Deschutes County,17944,0.087
Gilliam County,236,0.11800000000000001
Harney County,1111,0.152
Hood River County,2356,0.1
Josephine County,13041,0.151
Klamath County,13321,0.193
Malheur County,5686,0.19699999999999998
Multnomah County,99712,0.128
Tillamook County,3099,0.115
Umatilla County,12500,0.165
Wallowa County,987,0.13
Wasco County,3518,0.136
Yamhill County,10972,0.106
Allegheny County,137660,0.11599999999999999
Armstrong County,7512,0.11900000000000001
Bedford County,5257,0.11199999999999999
Berks County,50100,0.11900000000000001
Blair County,16835,0.14400000000000002
Bucks County,42929,0.067
Cambria County,16576,0.132
Cameron County,664,0.153
Centre County,23648,0.171
Chester County,33085,0.062
Clarion County,4932,0.142
Clearfield County,11254,0.154
Dauphin County,36562,0.129
Forest County,993,0.248
Huntingdon County,5034,0.13
Indiana County,12709,0.165
Juniata County,2468,0.10800000000000001
Lackawanna County,33535,0.161
Lebanon County,12219,0.087
Lehigh County,44748,0.121
Luzerne County,51977,0.16399999999999998
Lycoming County,13762,0.128
Mc Kean County,5832,0.159
Mifflin County,6868,0.152
Montour County,1690,0.098
Northumberland County,10647,0.12300000000000001
Philadelphia County,304389,0.203
Potter County,1996,0.127
Schuylkill County,19457,0.142
Snyder County,4062,0.109
Susquehanna County,4509,0.12
Venango County,6717,0.138
Westmoreland County,37249,0.10800000000000001
Newport County,9019,0.113
Providence County,80793,0.127
Abbeville County,3617,0.153
Aiken County,24516,0.141
Allendale County,2131,0.326
Bamberg County,3405,0.27699999999999997
Barnwell County,5419,0.272
Berkeley County,24616,0.098
Charleston County,45722,0.11
Chesterfield County,8818,0.203
Clarendon County,5930,0.2
Colleton County,8823,0.23
Darlington County,13658,0.223
Dillon County,6645,0.244
Edgefield County,4264,0.168
Florence County,25245,0.188
Georgetown County,9000,0.138
Greenville County,61870,0.113
Hampton County,4059,0.242
Horry County,50083,0.129
Kershaw County,8718,0.126
Lexington County,34255,0.11199999999999999
McCormick County,1618,0.17600000000000002
Marlboro County,6285,0.272
Newberry County,6541,0.175
Orangeburg County,17088,0.217
Saluda County,3046,0.161
Spartanburg County,48674,0.14
Williamsburg County,7015,0.248
Aurora County,295,0.11
Beadle County,3121,0.163
Bennett County,904,0.27699999999999997
Bon Homme County,756,0.134
Brookings County,3659,0.11199999999999999
Brule County,647,0.126
Charles Mix County,1925,0.214
Codington County,3243,0.114
Corson County,1272,0.337
Davison County,1839,0.094
Day County,713,0.133
Edmunds County,398,0.102
Fall River County,1017,0.141
Faulk County,256,0.13
Gregory County,570,0.145
Haakon County,193,0.106
Hamlin County,457,0.07200000000000001
Hand County,260,0.085
Hanson County,301,0.09
Hutchinson County,691,0.098
Jerauld County,204,0.127
Kingsbury County,512,0.1
Lyman County,705,0.193
McCook County,451,0.08
Mellette County,468,0.26
Miner County,230,0.105
Minnehaha County,19711,0.09699999999999999
Moody County,622,0.098
Oglala Lakota County,4827,0.371
Roberts County,1624,0.163
Sanborn County,287,0.124
Spink County,635,0.107
Stanley County,230,0.076
Sully County,113,0.076
Tripp County,865,0.161
Walworth County,819,0.158
Yankton County,2481,0.114
Ziebach County,1072,0.462
Bledsoe County,2830,0.21600000000000003
Cannon County,2150,0.14400000000000002
Cheatham County,3625,0.087
Cocke County,7563,0.204
Crockett County,2045,0.149
Dickson County,5522,0.099
Dyer County,6368,0.177
Fentress County,3653,0.18899999999999997
Giles County,4570,0.153
Grainger County,3800,0.155
Hamblen County,11359,0.17300000000000001
Hardeman County,4687,0.215
Hawkins County,9995,0.172
Loudon County,6316,0.105
McMinn County,8141,0.149
McNairy County,3994,0.155
Maury County,11685,0.107
Obion County,5791,0.193
Overton County,3299,0.14300000000000002
Pickett County,842,0.166
Rhea County,5320,0.16
Roane County,7448,0.134
Sequatchie County,2530,0.151
Trousdale County,1535,0.158
Unicoi County,2153,0.12300000000000001
Weakley County,5722,0.18600000000000003
Andrews County,2110,0.114
Angelina County,14631,0.172
Aransas County,4261,0.171
Archer County,867,0.09699999999999999
Atascosa County,9468,0.184
Austin County,3665,0.11599999999999999
Bailey County,1069,0.16399999999999998
Bandera County,2895,0.129
Bastrop County,12206,0.113
Baylor County,593,0.174
Bee County,5685,0.249
Bexar County,301255,0.147
Blanco County,1104,0.085
Borden County,68,0.11900000000000001
Bosque County,2201,0.11699999999999999
Bowie County,12857,0.14800000000000002
Brazoria County,36476,0.094
Brazos County,52926,0.237
Brewster County,1233,0.13699999999999998
Briscoe County,200,0.139
Burleson County,2680,0.139
Burnet County,5227,0.099
Callahan County,1814,0.127
Camp County,2271,0.17600000000000002
Carson County,532,0.091
Castro County,1256,0.177
Childress County,1086,0.19899999999999998
Cochran County,546,0.22
Coke County,424,0.13
Coleman County,1375,0.177
Collin County,75716,0.064
Collingsworth County,481,0.18899999999999997
Colorado County,2989,0.145
Comal County,13677,0.071
Concho County,496,0.222
Cooke County,5374,0.125
Coryell County,8877,0.122
Cottle County,260,0.201
Crane County,522,0.11699999999999999
Crosby County,1050,0.217
Culberson County,448,0.205
Dallam County,876,0.122
Deaf Smith County,2990,0.165
Denton County,60723,0.061
DeWitt County,3363,0.183
Dickens County,313,0.184
Dimmit County,2202,0.273
Donley County,494,0.16899999999999998
Eastland County,2822,0.163
Ector County,18966,0.11699999999999999
Erath County,6382,0.158
Falls County,3104,0.201
Fisher County,514,0.14300000000000002
Foard County,176,0.168
Fort Bend County,77408,0.085
Freestone County,2890,0.154
Frio County,3886,0.256
Gaines County,2984,0.134
Galveston County,41008,0.115
Garza County,749,0.185
Gillespie County,2730,0.1
Glasscock County,92,0.081
Goliad County,977,0.138
Gonzales County,3460,0.17600000000000002
Gregg County,19723,0.16
Grimes County,4398,0.149
Hansford County,581,0.11599999999999999
Hartley County,365,0.085
Hays County,26595,0.098
Hemphill County,314,0.10099999999999999
Hockley County,3183,0.151
Hood County,5455,0.081
Hudspeth County,777,0.32
Hunt County,13951,0.127
Irion County,137,0.08900000000000001
Jack County,1051,0.132
Jim Hogg County,1142,0.24600000000000002
Jim Wells County,8100,0.212
Karnes County,2781,0.23600000000000002
Kaufman County,17588,0.096
Kenedy County,51,0.149
Kerr County,6235,0.12
Kimble County,769,0.174
King County,21,0.09699999999999999
Kinney County,567,0.21
Kleberg County,6341,0.221
Lamb County,2291,0.183
Lampasas County,2645,0.115
Lavaca County,2513,0.125
Lipscomb County,362,0.126
Live Oak County,1686,0.17
Llano County,2655,0.11699999999999999
Loving County,2,0.047
Lubbock County,52974,0.171
Lynn County,954,0.16699999999999998
McCulloch County,1359,0.185
McLennan County,43162,0.16699999999999998
McMullen County,70,0.124
Matagorda County,6434,0.179
Maverick County,13047,0.228
Milam County,4056,0.159
Montague County,2856,0.134
Motley County,171,0.168
Nacogdoches County,11954,0.196
Navarro County,8526,0.157
Nolan County,2856,0.204
Nueces County,59695,0.17300000000000001
Ochiltree County,1074,0.111
Palo Pinto County,4970,0.16899999999999998
Parker County,14141,0.08199999999999999
Parmer County,1278,0.134
Pecos County,2686,0.212
Presidio County,1314,0.22899999999999998
Rains County,1782,0.138
Randall County,12644,0.087
Reagan County,335,0.107
Real County,438,0.157
Red River County,2117,0.184
Reeves County,1993,0.17600000000000002
Refugio County,1104,0.168
Rockwall County,6600,0.051
Runnels County,1478,0.153
Rusk County,6866,0.142
Sabine County,1451,0.145
San Augustine County,1546,0.203
San Jacinto County,4798,0.16699999999999998
San Patricio County,12080,0.172
San Saba County,952,0.184
Schleicher County,377,0.16
Scurry County,2397,0.157
Shackelford County,409,0.128
Somervell County,858,0.08800000000000001
Starr County,18868,0.28800000000000003
Sterling County,156,0.115
Stonewall County,184,0.159
Sutton County,432,0.134
Swisher County,1223,0.19399999999999998
Tarrant County,236391,0.11
Terry County,2117,0.193
Throckmorton County,199,0.131
Titus County,4883,0.157
Tom Green County,16827,0.146
Travis County,133858,0.102
Tyler County,3326,0.185
Upshur County,5937,0.139
Upton County,465,0.153
Uvalde County,5056,0.21
Val Verde County,9234,0.20199999999999999
Van Zandt County,7603,0.12
Victoria County,12747,0.141
Waller County,7962,0.139
Webb County,59745,0.225
Wharton County,6298,0.153
Wilbarger County,2065,0.16899999999999998
Willacy County,4817,0.278
Winkler County,991,0.135
Wise County,7217,0.094
Yoakum County,960,0.13
Young County,2590,0.145
Zapata County,4134,0.304
Zavala County,2677,0.289
Box Elder County,5272,0.085
Cache County,14667,0.107
Daggett County,75,0.076
Duchesne County,2513,0.124
Emery County,1092,0.10800000000000001
Juab County,1057,0.08199999999999999
Millard County,1232,0.09300000000000001
Piute County,218,0.141
Rich County,203,0.076
Salt Lake County,110632,0.095
Sanpete County,3537,0.129
Tooele County,5573,0.068
Uintah County,4165,0.111
Utah County,63310,0.09
Wasatch County,1848,0.05
Weber County,22794,0.085
Addison County,3010,0.087
Bennington County,4272,0.11900000000000001
Caledonia County,4192,0.14
Chittenden County,12459,0.078
Grand Isle County,650,0.087
Lamoille County,2461,0.096
Rutland County,6900,0.11800000000000001
Windham County,4506,0.10099999999999999
Windsor County,5686,0.099
Accomack County,5690,0.17300000000000001
Albemarle County,8610,0.08
Amelia County,1336,0.1
Amherst County,3833,0.125
Appomattox County,1917,0.114
Arlington County,16535,0.071
Augusta County,6143,0.08199999999999999
Bland County,764,0.139
Botetourt County,2131,0.063
Buckingham County,2682,0.18100000000000002
Charles City County,748,0.113
Culpeper County,5106,0.096
Dickenson County,2563,0.19399999999999998
Dinwiddie County,3281,0.11800000000000001
Fairfax County,69309,0.061
Fauquier County,4570,0.061
Fluvanna County,2080,0.076
Goochland County,1757,0.067
Greensville County,2136,0.273
Hanover County,5891,0.053
Henrico County,30898,0.094
Isle of Wight County,2952,0.073
James City County,5859,0.07200000000000001
King and Queen County,854,0.127
King George County,1778,0.063
King William County,1336,0.071
Loudoun County,17860,0.040999999999999995
Lunenburg County,2106,0.191
Mathews County,781,0.092
New Kent County,1420,0.055999999999999994
Nottoway County,2424,0.17800000000000002
Patrick County,2466,0.14400000000000002
Pittsylvania County,7968,0.13699999999999998
Powhatan County,1882,0.061
Prince Edward County,4430,0.251
Prince George County,3805,0.113
Prince William County,32529,0.067
Rappahannock County,663,0.09
Roanoke County,6804,0.07200000000000001
Rockbridge County,2480,0.114
Shenandoah County,4444,0.099
Smyth County,4330,0.151
Southampton County,2195,0.133
Spotsylvania County,9756,0.066
Wythe County,3757,0.135
Alexandria city,13057,0.085
Bristol city,3601,0.218
Buena Vista city,873,0.146
Charlottesville city,8355,0.196
Chesapeake city,24815,0.1
Colonial Heights city,1889,0.10400000000000001
Covington city,966,0.177
Danville city,9452,0.23399999999999999
Emporia city,1055,0.201
Fairfax city,1833,0.07400000000000001
Falls Church city,738,0.051
Franklin city,1628,0.198
Fredericksburg city,3384,0.127
Galax city,1350,0.20800000000000002
Hampton city,17827,0.134
Harrisonburg city,10414,0.23800000000000002
Hopewell city,4489,0.2
Lexington city,1031,0.214
Lynchburg city,13198,0.191
Manassas city,4559,0.107
Manassas Park city,1257,0.077
Martinsville city,2999,0.225
Newport News city,27335,0.157
Norfolk city,38185,0.183
Norton city,712,0.20600000000000002
Petersburg city,6946,0.212
Poquoson city,725,0.057999999999999996
Portsmouth city,17578,0.187
Radford city,3562,0.264
Richmond city,38475,0.17600000000000002
Roanoke city,17522,0.184
Salem city,2459,0.10400000000000001
Staunton city,2776,0.113
Suffolk city,11033,0.111
Virginia Beach city,38630,0.087
Waynesboro city,2940,0.129
Williamsburg city,2058,0.188
Winchester city,4286,0.162
Asotin County,3323,0.149
Chelan County,8086,0.102
Clallam County,9120,0.11900000000000001
Cowlitz County,14756,0.132
Ferry County,1275,0.172
Grays Harbor County,11317,0.151
Island County,7234,0.086
Kitsap County,23273,0.087
Kittitas County,6869,0.152
Klickitat County,2786,0.11900000000000001
Okanogan County,7229,0.16699999999999998
Pacific County,3132,0.131
Pend Oreille County,2047,0.14400000000000002
Skagit County,12671,0.09699999999999999
Skamania County,1382,0.11
Snohomish County,73606,0.08800000000000001
Spokane County,67235,0.125
Wahkiakum County,537,0.113
Walla Walla County,8496,0.149
Whatcom County,29187,0.129
Whitman County,10515,0.248
Yakima County,40910,0.161
Braxton County,2298,0.19699999999999998
Brooke County,2910,0.141
Cabell County,17413,0.198
Doddridge County,1233,0.18899999999999997
Greenbrier County,5769,0.182
Hardy County,1948,0.138
Kanawha County,26860,0.156
Mingo County,6304,0.28800000000000003
Monongalia County,18255,0.183
Pleasants County,969,0.145
Preston County,5297,0.17300000000000001
Raleigh County,12538,0.182
Ritchie County,1433,0.177
Summers County,2387,0.226
Tucker County,1137,0.17600000000000002
Wetzel County,2388,0.174
Wirt County,882,0.177
Barron County,4616,0.1
Bayfield County,1666,0.1
Burnett County,2279,0.135
Calumet County,2419,0.046
Dane County,56180,0.1
Door County,2654,0.08800000000000001
Eau Claire County,11136,0.10800000000000001
Fond du Lac County,9301,0.092
Green Lake County,1985,0.10400000000000001
Juneau County,3128,0.125
Kenosha County,18389,0.113
Kewaunee County,1785,0.087
La Crosse County,14068,0.121
Langlade County,2595,0.136
Manitowoc County,7436,0.092
Marathon County,13122,0.096
Marinette County,4714,0.114
Milwaukee County,153720,0.171
Oconto County,3401,0.086
Outagamie County,11991,0.063
Ozaukee County,4403,0.048
Pepin County,762,0.10300000000000001
Price County,1679,0.12
Racine County,20528,0.107
St. Croix County,5506,0.057
Sauk County,6097,0.094
Sawyer County,2734,0.15
Shawano County,4659,0.115
Sheboygan County,10197,0.08900000000000001
Trempealeau County,3590,0.11800000000000001
Vilas County,2941,0.12300000000000001
Washburn County,1815,0.10800000000000001
Waukesha County,22694,0.055
Waupaca County,6055,0.121
Waushara County,2490,0.105
Converse County,1422,0.10400000000000001
Goshen County,1662,0.14400000000000002
Hot Springs County,507,0.111
Laramie County,9587,0.096
Natrona County,8266,0.105
Niobrara County,333,0.158
Sublette County,681,0.076
Sweetwater County,4056,0.1
Uinta County,2109,0.10300000000000001
Washakie County,929,0.12300000000000001
Weston County,710,0.114
