County,PovertyPopulation,PovertyPopulation%
Siskiyou County,7273,0.171
Solano County,45402,0.10300000000000001
Sonoma County,43143,0.091
Stanislaus County,68761,0.126
Sutter County,14849,0.153
Tehama County,9633,0.15
Trinity County,3223,0.20800000000000002
Tulare County,83050,0.175
Tuolumne County,5390,0.105
Ventura County,80427,0.098
Yolo County,31960,0.153
Yuba County,12935,0.154
Adams County,51247,0.09699999999999999
Alamosa County,3416,0.217
Arapahoe County,65646,0.10099999999999999
Archuleta County,1577,0.11199999999999999
Baca County,665,0.20199999999999999
Bent County,1220,0.28600000000000003
Boulder County,34478,0.11
Broomfield County,3912,0.051
Chaffee County,1829,0.094
Cheyenne County,226,0.133
Clear Creek County,704,0.077
Conejos County,1347,0.18100000000000002
Costilla County,814,0.226
Crowley County,1129,0.375
Custer County,652,0.11800000000000001
Delta County,4071,0.129
Denver County,73632,0.105
Dolores County,338,0.135
Douglas County,14173,0.037000000000000005
Eagle County,3582,0.066
Elbert County,1671,0.057999999999999996
El Paso County,53047,0.073
Fremont County,7657,0.184
Garfield County,5606,0.091
Gilpin County,425,0.07200000000000001
Grand County,1311,0.08199999999999999
Gunnison County,1741,0.107
Hinsdale County,40,0.053
Huerfano County,1270,0.183
Kiowa County,184,0.136
Kit Carson County,849,0.12300000000000001
La Plata County,6305,0.115
Larimer County,36698,0.102
Las Animas County,2370,0.171
Mesa County,18546,0.11900000000000001
Mineral County,91,0.09699999999999999
Moffat County,1419,0.10800000000000001
Montezuma County,3664,0.14
Montrose County,4693,0.107
Otero County,3581,0.201
Ouray County,383,0.07400000000000001
Park County,1457,0.081
Pitkin County,1056,0.064
Prowers County,2286,0.201
Pueblo County,22336,0.135
Rio Blanco County,688,0.10800000000000001
Rio Grande County,1965,0.17800000000000002
Routt County,1376,0.055999999999999994
Saguache County,1370,0.20600000000000002
San Juan County,98,0.12300000000000001
San Miguel County,618,0.079
Sedgwick County,333,0.147
Summit County,2209,0.073
Teller County,2044,0.083
Weld County,32284,0.091
Capitol Planning Region,92788,0.098
Greater Bridgeport Planning Region,36025,0.113
Lower Connecticut River Valley Planning Region,12171,0.071
Naugatuck Valley Planning Region,51210,0.114
Northeastern Connecticut Planning Region,7277,0.076
Northwest Hills Planning Region,9386,0.084
South Central Connecticut Planning Region,68099,0.125
Southeastern Connecticut Planning Region,33460,0.124
Western Connecticut Planning Region,49135,0.08
Kent County,21471,0.11699999999999999
New Castle County,61487,0.109
Sussex County,26244,0.10099999999999999
Alachua County,49524,0.185
Baker County,3328,0.125
Bay County,22023,0.11800000000000001
Bradford County,3871,0.154
Brevard County,65640,0.10300000000000001
Broward County,247799,0.127
Charlotte County,18491,0.091
Citrus County,25675,0.157
Collier County,41998,0.105
DeSoto County,6254,0.188
Dixie County,3748,0.237
Duval County,146043,0.145
Flagler County,11598,0.08900000000000001
Gadsden County,9149,0.215
Gilchrist County,2503,0.135
Glades County,1879,0.16899999999999998
Gulf County,2065,0.149
Hamilton County,2603,0.21899999999999997
Hardee County,4902,0.205
Hendry County,9445,0.221
Hernando County,25371,0.121
Highlands County,19796,0.18600000000000003
Hillsborough County,198734,0.132
Holmes County,3324,0.182
Indian River County,19049,0.113
Leon County,49251,0.17600000000000002
Levy County,8441,0.183
Liberty County,1292,0.20800000000000002
Manatee County,45410,0.10400000000000001
Martin County,20806,0.131
Miami-Dade County,372520,0.141
Nassau County,9524,0.095
Okaloosa County,21517,0.10099999999999999
Okeechobee County,6649,0.17
Osceola County,47450,0.109
Palm Beach County,163357,0.10800000000000001
Pasco County,65506,0.105
Pinellas County,106728,0.113
Putnam County,15749,0.21100000000000002
St. Johns County,19245,0.061
St. Lucie County,38539,0.10400000000000001
Santa Rosa County,15981,0.081
Sarasota County,43818,0.095
Seminole County,44094,0.092
Suwannee County,7501,0.17300000000000001
Taylor County,3934,0.19699999999999998
Volusia County,68507,0.11900000000000001
Wakulla County,3501,0.10400000000000001
Walton County,9126,0.109
Appling County,3811,0.21100000000000002
Atkinson County,1850,0.22399999999999998
Bacon County,2446,0.22899999999999998
Banks County,2400,0.122
Barrow County,10351,0.11199999999999999
Bartow County,11004,0.09699999999999999
Ben Hill County,4096,0.244
Berrien County,3458,0.188
Bleckley County,2111,0.182
Brantley County,3246,0.17800000000000002
Brooks County,3642,0.228
Bryan County,4055,0.08199999999999999
Bulloch County,18529,0.237
Burke County,5114,0.212
Butts County,3700,0.155
Camden County,6459,0.11599999999999999
Candler County,2311,0.215
Catoosa County,7314,0.107
Charlton County,2727,0.262
Chatham County,44111,0.152
Chattahoochee County,1067,0.163
Chattooga County,4958,0.207
Clayton County,50474,0.17300000000000001
Clinch County,1552,0.233
Cobb County,67115,0.08800000000000001
Colquitt County,10601,0.23399999999999999
Cook County,3469,0.19899999999999998
Coweta County,15250,0.099
Crisp County,4981,0.26
Dade County,2209,0.141
Dawson County,2534,0.08
Decatur County,6274,0.223
Dodge County,4221,0.235
Dooly County,2068,0.225
Dougherty County,21140,0.264
Early County,2642,0.255
Echols County,796,0.21600000000000003
Effingham County,6032,0.085
Emanuel County,5657,0.261
Evans County,2399,0.237
Fannin County,3594,0.139
Floyd County,16361,0.17
Forsyth County,13783,0.051
Gilmer County,4439,0.136
Glascock County,453,0.157
Glynn County,13245,0.157
Gordon County,7593,0.129
Grady County,5110,0.19699999999999998
Gwinnett County,111168,0.114
Habersham County,6221,0.135
Hall County,23740,0.11
Hancock County,2226,0.303
Haralson County,5185,0.163
Harris County,3091,0.086
Hart County,3984,0.149
Heard County,1964,0.165
Irwin County,1719,0.19399999999999998
Jasper County,2426,0.14800000000000002
Jeff Davis County,2920,0.19699999999999998
Jenkins County,2161,0.289
Jones County,3631,0.127
Lanier County,1758,0.175
Laurens County,9418,0.192
Long County,2913,0.151
Lumpkin County,4735,0.151
McDuffie County,4128,0.191
McIntosh County,2142,0.187
Meriwether County,3317,0.159
Mitchell County,4698,0.23800000000000002
Murray County,5870,0.14400000000000002
Muscogee County,40634,0.207
Oconee County,3286,0.075
Oglethorpe County,2053,0.131
Paulding County,14053,0.077
Peach County,4757,0.17300000000000001
Pierce County,3274,0.162
Quitman County,539,0.237
Rabun County,2242,0.13
Richmond County,43227,0.222
Rockdale County,12310,0.13
Schley County,693,0.153
Screven County,3133,0.225
Spalding County,11253,0.163
Stephens County,4110,0.156
Stewart County,1265,0.325
Talbot County,1558,0.273
Taliaferro County,389,0.245
Tattnall County,5177,0.257
Telfair County,2793,0.301
Terrell County,2361,0.281
Thomas County,8318,0.184
Tift County,7785,0.192
Toombs County,6092,0.228
Towns County,1446,0.11599999999999999
Treutlen County,1423,0.24
Troup County,12539,0.18100000000000002
Turner County,2085,0.239
Twiggs County,1614,0.213
Upson County,4868,0.175
Ware County,6757,0.19899999999999998
Warren County,1222,0.242
Wayne County,5785,0.19699999999999998
Webster County,484,0.207
Wheeler County,1804,0.363
Whitfield County,15961,0.155
Wilkes County,1668,0.17800000000000002
Wilkinson County,1768,0.20600000000000002
Worth County,4302,0.214
Hawaii County,33847,0.165
Honolulu County,87196,0.091
Kauai County,6851,0.094
Maui County,15300,0.094
Ada County,40703,0.08
Bannock County,10518,0.11900000000000001
Bear Lake County,674,0.10099999999999999
Benewah County,1341,0.13
Bingham County,5509,0.111
Blaine County,1712,0.069
Boise County,861,0.10099999999999999
Bonner County,5482,0.105
Bonneville County,13286,0.102
Boundary County,1552,0.115
Camas County,101,0.08199999999999999
Canyon County,25683,0.10099999999999999
Caribou County,692,0.09699999999999999
Cassia County,2918,0.115
Clearwater County,1227,0.145
Gem County,2262,0.109
Gooding County,2038,0.128
Idaho County,2382,0.13699999999999998
Jerome County,3095,0.12300000000000001
Kootenai County,17137,0.09300000000000001
Latah County,5531,0.14300000000000002
Lemhi County,1090,0.13
Lewis County,504,0.135
Minidoka County,2498,0.11199999999999999
Nez Perce County,4600,0.11
Oneida County,491,0.1
Owyhee County,1480,0.11800000000000001
Payette County,3027,0.11199999999999999
Power County,1013,0.124
Shoshone County,2175,0.157
Teton County,828,0.066
Twin Falls County,9789,0.105
Valley County,978,0.078
Alexander County,1193,0.258
Bond County,1904,0.136
Brown County,626,0.13699999999999998
Bureau County,3682,0.114
Cass County,1443,0.11599999999999999
Champaign County,30821,0.162
Christian County,3649,0.121
Clinton County,2634,0.075
Coles County,7529,0.17300000000000001
Cumberland County,1133,0.11199999999999999
De Witt County,1628,0.10800000000000001
DuPage County,59722,0.066
Edgar County,2174,0.136
Edwards County,821,0.139
Ford County,1416,0.11
Gallatin County,799,0.175
Grundy County,3605,0.068
Hardin County,679,0.192
Henderson County,797,0.132
Iroquois County,3165,0.12300000000000001
Jersey County,2204,0.10800000000000001
Jo Daviess County,1849,0.086
Kane County,42685,0.084
Kankakee County,11791,0.115
Kendall County,7032,0.051
Knox County,7324,0.163
La Salle County,12243,0.11599999999999999
Livingston County,3711,0.111
McDonough County,4851,0.19899999999999998
McHenry County,19499,0.063
McLean County,17831,0.11
Macoupin County,5596,0.13
Mason County,1837,0.149
Massac County,2380,0.177
Menard County,1212,0.10300000000000001
Mercer County,1497,0.098
Moultrie County,1544,0.11
Ogle County,4660,0.092
Peoria County,29050,0.168
Piatt County,1120,0.068
Richland County,1996,0.131
Rock Island County,20292,0.14800000000000002
Sangamon County,22654,0.11900000000000001
Schuyler County,909,0.13699999999999998
Stark County,578,0.113
Stephenson County,5355,0.127
Tazewell County,11308,0.08900000000000001
Vermilion County,13422,0.195
Wabash County,1527,0.14400000000000002
Whiteside County,6080,0.114
Will County,49733,0.07200000000000001
Williamson County,10883,0.168
Winnebago County,40617,0.147
Woodford County,2575,0.069
Allen County,50579,0.13
Bartholomew County,8261,0.1
Blackford County,1839,0.157
Daviess County,3482,0.106
Dearborn County,3982,0.079
De Kalb County,4933,0.113
Delaware County,20252,0.19399999999999998
Dubois County,3281,0.077
Elkhart County,23765,0.11699999999999999
Fountain County,1761,0.106
Gibson County,3541,0.11
Harrison County,3409,0.086
Hendricks County,10215,0.055999999999999994
Huntington County,3160,0.08900000000000001
Jay County,2652,0.134
Jennings County,3652,0.134
Kosciusko County,7359,0.094
Lagrange County,3420,0.084
La Porte County,14984,0.14300000000000002
Miami County,4851,0.152
Noble County,4949,0.106
Ohio County,547,0.092
Owen County,2645,0.125
Parke County,2345,0.152
Porter County,15959,0.09300000000000001
Posey County,2315,0.09300000000000001
Ripley County,2942,0.10300000000000001
Rush County,1797,0.10800000000000001
St. Joseph County,36928,0.142
Spencer County,1712,0.087
Starke County,3019,0.131
Steuben County,3362,0.102
Sullivan County,2890,0.156
Switzerland County,1264,0.128
Tippecanoe County,29604,0.171
Tipton County,1346,0.09
Vanderburgh County,23903,0.138
Vermillion County,1902,0.125
Vigo County,19591,0.20199999999999999
Warrick County,5365,0.083
Wells County,2415,0.086
Whitley County,2919,0.085
Adair County,709,0.098
Allamakee County,1542,0.111
Appanoose County,1914,0.161
Audubon County,555,0.102
Black Hawk County,17837,0.142
Bremer County,1848,0.078
